Company Name,Legal Name,Company Description,Director Name,Director Position,Phone Numbers,Email Addresses,Websites,Addresses,Activity Types,Social Links,Last Updated,Source URL,Scraped At
"""ШУШИ ПАЛАС"" МНОГОКВАРТИРНЫЙ ЖИЛОЙ КОМПЛЕКС (общество с ограниченной ответственностью/ООО ""ЛОРИДА ГРУП"")",,"""Шуши Палас"" - многоквартирный жилой комплекс, оборудованный современными и инновационными технологиями. Комплекс состоит из восьми сейсмостойких и энергосберегающих зданий. Все квартиры имеют удобные открытые балконы. Просторная территория площадью около 8000 кв. м, окруженная восьмью высотными зданиями, озеленена, имеет оснащенную игровую площадку, современные тренажеры, велосипедную и беговую дорожки длиною 400 м по окружности дворовой части, многофункциональный стадион. Район будет охраняться круглосуточной службой безопасности.",Ханик Петросян,директор,+37412208830; +37441208830; +37433208830; +37498908908,,https://www.shushi-palace.am/,"Армения, 0031, Ереван Кирк Керкорян ул. , 50/102 дом; Армения, 0009, Ереван Таманян ул., 1а дом, помещение 15 (около комплекса ""Каскад""); Армения, 0097, Ереван Назарбекян квартал (Северо-Западный Г-3 квартал), 44/13 дом","Застройка недвижимости; Услуги по купле-продаже, обмену, аренде зданий, строений, помещений и территорий Продажа жилых зданий-новостроек Продажа жилых помещений от застройщика Продажа зданий-новостроек Продажа зданий-новостроек от застройщика Продажа квартир в зданиях-новостройках Продажа квартир от застройщика",https://www.facebook.com/ShushiPalaceRC; https://www.instagram.com/shushipalace/,29.12.2025,https://www.spyur.am/ru/companies/shushi-palace-residential-complex/50262,2026-07-12T21:03:20+00:00
"""МЕТРУМ ИНВЕСТ"" КОМПАНИЯ-ЗАСТРОЙЩИК",,Наша главная цель - строительство качественных зданий,Арман Мелконян,директор,+37411886886; +37455886886,,https://metruminvest.am/hy,"Армения, 0009, Ереван Верин Антараин ул., 136/3 дом","Торговые марки, бренды ""РУБИНЯНЦ КОМПЛЕКС"" («ՌՈՒԲԻՆՅԱՆՑ ԿՈՄՊԼԵՔՍ», Армения), застройщик ""ЦАХКАДЗОР ПАРК"" («ԾԱՂԿԱՁՈՐ ՊԱՐԿ», Армения), застройщик ""АНТАРА ИНН"" («ԱՆՏԱՌԱ ԻՆՆ», Армения), застройщик ""ЭДЕН ПАРК"" («ԷԴԵՆ ՊԱՐԿ», Армения), застройщик ""ТУН 27"" («ՏՈՒՆ 27», Армения), застройщик ""ЭМИН 6"" («ԷՄԻՆ 6», Армения), застройщик ""РЕНЕТ"" («ՌԵՆԵՏ», Армения), застройщик ""АНТАРАИН 7/1"" («ԱՆՏԱՌԱՅԻՆ 7/1», Армения), застройщик ""МАСИС ЦЕНТРАЛ"" ЖИЛОЙ КОМПЛЕКС (Армения), застройщик; Услуги по купле-продаже, обмену, аренде зданий, строений, помещений и территорий Продажа жилых зданий-новостроек Продажа жилых помещений от застройщика Продажа зданий-новостроек Продажа зданий-новостроек от застройщика Продажа квартир в зданиях-новостройках Продажа квартир от застройщика",https://www.facebook.com/metrum.am; https://www.instagram.com/metrum_invest; https://www.youtube.com/@MetrumInvest; https://www.youtube.com/watch?v=fzQY01sWAmA,03.07.2026,https://www.spyur.am/ru/companies/metrum-invest-real-estate-development-company/51524,2026-07-12T21:03:22+00:00
"""АРТКОМПАНИ"" КОМПАНИЯ-ЗАСТРОЙЩИК",,"Имея более чем 12-летний опыт, мы создаем качественную среду для жизни. Завершенные проекты: • Квартал ""Ани"" • Комплекс ""Амбарцумян"" • Квартал ""Мамиконянц"" • Комплекс ""Ленинградян"" • Квартал ""Крунк"" • Комплекс ""Кохбаци"" Нами построенные жилые комплексы сочетают в себе качество, комфорт, современную архитектуру и доступную ценовую стратегию. В процессе реализации новые строительные проекты, которые очень скоро станут неотъемлемой частью города. ""Арткомпани"" - нам доверяют тысячи семей.",,,+37495333004; +37495333005; +37415333000; +37441333200,,https://artco.am/,"Армения, 0082, Ереван Цицернакаберди шоссе, 8/3 дом; Армения, 0010, Ереван Тигран Меци пр. , 11 дом","Компания по управлению проектами застройки и градостроительства РА С 2012 года компания строит жилые дома, комплексы и кварталы. Текущие проекты: - ""Гюрджян каскад"" (Нор Норк, ул. Гюрджян 14/1, завершение строительства - 2028 г.) - ""Фирдус Прайм Резиденс"" (Малый Центр, пр. Тигран Меци и ул. Ханджян, завершение строительства - 2027-2028 гг. по зданиям) - Жилой комплекс ""Антар"" (Арабкир, ул. Ахпюр Серопи 44-48, завершение строительства - конец 2025 г.) - ""Ани Премиум""(Арабкир, ул. Адонци 19/4, завершение строительства - 2027 г.) - ""Комплекс Мамиконянц"" (Арабкир, ул. Мамиконянц 30/1, строительство завершено) - ""Дилижан Апарт-отель"" (Дилижан, ул. Горьку 29/44, завершение строительства - весной 2026 г.); Услуги по купле-продаже, обмену, аренде зданий, строений, помещений и территорий Продажа жилых зданий-новостроек Продажа жилых помещений от застройщика Продажа зданий-новостроек Продажа зданий-новостроек от застройщика Продажа квартир в зданиях-новостройках Продажа квартир от застройщика",https://www.facebook.com/artcompanyarmenia; https://www.facebook.com/profile.php?id=61560788095409; https://www.facebook.com/GyurjyanCascade; https://www.facebook.com/profile.php?id=61563995020956; https://www.instagram.com/artcompanyarmenia/; https://www.instagram.com/firdus_prime_residence/; https://www.instagram.com/gyurjyan_cascade/; https://www.instagram.com/ani.premium/; https://www.youtube.com/watch?v=V_LBQhA0KxQ; https://www.youtube.com/watch?v=EvS9xy1tlMw; https://www.youtube.com/watch?v=fLH_i8aTG3I; https://www.youtube.com/watch?v=GzkVcTVeAQc,22.05.2026,https://www.spyur.am/ru/companies/artcompany-real-estate-development-company/55129,2026-07-12T21:03:24+00:00
"""МАММУТ ГРУП""",,Ожидайте лучшего Приглашаем к сотрудничеству все строительные компании и застройщиков РА,"Варуж Баруян, директор офиса в Армении",Руководитель,+37493147156; +37494241915; +989019011440; +989019011441; +989121888510; +98214500,,https://ru.mammutstructures.com/; http://mammutstructures.am/,"Армения, 0010, Ереван Анрапетутян ул. , 67 дом, 2-й этаж, помещение 3; Иран, Тегеран №7, 7th Str., Vozara Str., Argentine Square, Tehran, Iran; Иран, Маммут индустриальный городок 5th kilometer after Kordan Bridge, Karaj-Qazvin Highway, Mammut Industrial City, Iran","Производство, проектирование, монтаж, установка сэндвич-панелей, промышленных холодильников, металлических конструкций, промышленных навесов/козырьков и быстровозводимых (сборных) зданий и бесплатные консультации; Консультации Консультации по строительству Ремонт, обслуживание, модернизация, монтаж, установка изделий, оборудования, конструкций, инженерных и телекоммуникационных сетей (систем) Монтаж/установка ангаров Монтаж/установка каркаса зданий и сооружений Монтаж/установка каркасных зданий Монтаж/установка металлических конструкций (металлоконструкций) Монтаж/установка многослойных панелей (сэндвич-панелей) Монтаж/установка промышленного холодильного оборудования Монтаж/установка сборных домов Монтаж/установка холодильных камер из многослойных панелей (сэндвич-панелей)",https://www.youtube.com/watch?v=Rv8_T3FWSbU; https://www.youtube.com/watch?v=dCPz-9GbF1c,01.06.2026,https://www.spyur.am/ru/companies/mammut-group/57429,2026-07-12T21:03:27+00:00
"""ФЕМИДА"" КОМПАНИЯ ПО ЗАСТРОЙКЕ ЗДАНИЙ КЛАССА ""ЛЮКС""",,"Твоя возможность приобретения квартиры Жилой комплекс класса ""люкс"" ""Фемида"" предлагает квартиры с площадью от 55 до 375 кв. м. Комплекс имеет: • систему безопасности 24/7 • котельную • собственную электроподстанцию • вывоз мусора • освещение • подземную парковку (-2 этажа) • 4 подъезда: 1-й подъезд имеет 16 этажей; 2-й и 3-й подъезды - 14 этажей; 4-й подъезд - 18 этажей; всего - 337 квартир • выход на улицу Тигран Петросян, главный парк и открывающийся роскошный вид на гору Арарат Квартиры можете приобрести как наличными с полной оплатой, так и поэтапно - с 30%-ной предоплатой. Дом строится исключительно высококачественными материалами и в соответствии со всеми стандартами. Действует возможность приобретения квартиры по ипотечному кредиту, начиная с 10%-ной предоплаты без залога вторичного имущества. ВАЖНЫЙ ПУНКТ: приобретенные квартиры получают нотариальное заверение и Ваше право купли регистрируется в Государственном комитете кадастра РА. Дом будет сдан в эксплуатацию в следующем виде: - благоустроенные дворы, - подъезды - отлично отремонтированные, в каждом подъезде - по 2 лифта (один - большой и один - маленький), - внутренние перегородки квартиры выполнены соответственно проектам, стены - с гажевым покрытием, полы выровнены. В здании будут встроены теплосберегающие и солнцезащитные окна самого высокого качества из алюминиевых профилей. Комплекс находится в самом сердце Давташена по адресу Тигран Петросян 40 по соседству со спортивным клубом ""Reebok"" и ""Yerevan City"". Звоните по телефону 055-999 711 и выберите квартиру будущего сейчас.","Ваагн Макарян, руководитель отдела продаж",Руководитель,+37455999711,,,"Армения, 0054, Ереван Пирумяннери ул., 5 дом; Армения, 0054, Ереван Тигран Петросян ул. , 40 дом","Торговые марки, бренды ""ФЕМИДА"" ЖИЛОЙ КОМПЛЕКС («ՖԵՄԻԴԱ» ԲՆԱԿԵԼԻ ՀԱՄԱԼԻՐ, Армения), застройщик; Услуги по купле-продаже, обмену, аренде зданий, строений, помещений и территорий Продажа жилых зданий-новостроек Продажа жилых помещений от застройщика Продажа зданий-новостроек Продажа зданий-новостроек от застройщика Продажа квартир в зданиях-новостройках Продажа квартир от застройщика",https://www.facebook.com/profile.php?id=61560937941288; https://www.instagram.com/femidaresidentialcomplex,17.04.2026,https://www.spyur.am/ru/companies/femida-luxury-building-construction-company/56817,2026-07-12T21:03:30+00:00
"""БРЕВЕРК"" СТРОИТЕЛЬНАЯ ОРГАНИЗАЦИЯ общество с ограниченной ответственностью (ООО)",,30+ ЛЕТ В ОТРАСЛИ Многолетний опыт Высококачественное строительство Качественная застройка,Левон Гургенович Шаумян,директор,+37410444366; +37410444367,,,"Армения, 0061, Ереван Аршакуняц пр. , 67/15 дом; Армения, 0039, Ереван Багратуняц ул. 2-й тупик, 4/3 дом","Строительство; Аренда, прокат изделий, оборудования Аренда/прокат дорожно-строительной техники (дорожно-строительных машин) Аренда/прокат строительной техники (строительных машин) Ремонт, обслуживание, модернизация, монтаж, установка изделий, оборудования, конструкций, инженерных и телекоммуникационных сетей (систем) Монтаж/установка каркаса зданий и сооружений Услуги по купле-продаже, обмену, аренде зданий, строений, помещений и территорий Продажа жилых зданий-новостроек Продажа жилых помещений от застройщика Продажа зданий-новостроек Продажа зданий-новостроек от застройщика Продажа квартир в зданиях-новостройках Продажа квартир от застройщика",https://www.facebook.com/brawerk.am; https://www.instagram.com/brawerk.am,02.06.2026,https://www.spyur.am/ru/companies/brawerk-construction-organization/6665,2026-07-12T21:03:34+00:00
"""НЬЮ СИТИ ПРОДЖЕКТС"" КОМПАНИЯ-ЗАСТРОЙЩИК",,"Проекты: ""Novem Residence"" (жилой квартал, состоящий из 9 домов, по адресу ул. Багреванди 9/8) ""Pallada Residential Complex"" (жилой комплекс, состоящий из 8 корпусов, в Цахкадзоре по адресу пл. Цахкуняц 5) ""Acharyan Residential Complex"" (жилой комплекс, состоящий из 4 корпусов, по адресу ул. Ачарян 39/25) ""Aria Residence"" (жилой комплекс, состоящий из 2 корпусов, по адресу ул. Арзуманян 8/2) ""Shinararner Residence"" (жилой комплекс, состоящий из 2 корпусов, по адресу ул. Шинарарнери 23/1) ""Lotus Living"" (жилой квартал, состоящий из 5 корпусов, 5-7 этажей, по адресу ул. Г. Овсепян 46/7)",Ваге Давтян,директор,+37460444777; +37433600900,,https://newcity.am/hy; https://www.pinterest.com/NewCityProjects/?invite_code=35131b1fe8ec47d8bfe05658867cb381,"Армения, 0051, Ереван Грачья Тамразян ул. , 1/2 дом","""New City Projects"" осуществляет застройку в Ереване и регионах; Ремонт, обслуживание, модернизация, монтаж, установка изделий, оборудования, конструкций, инженерных и телекоммуникационных сетей (систем) Монтаж/установка металлических конструкций (металлоконструкций) Услуги по купле-продаже, обмену, аренде зданий, строений, помещений и территорий Продажа жилых зданий-новостроек Продажа жилых помещений от застройщика Продажа зданий-новостроек Продажа зданий-новостроек от застройщика Продажа квартир в зданиях-новостройках Продажа квартир от застройщика Продажа недвижимости на застроенных/застраиваемых земельных участках",https://www.facebook.com/people/New-City-Projects/100092961344357/; https://www.instagram.com/newcityprojects/; https://www.linkedin.com/company/new-city-projects/,03.07.2026,https://www.spyur.am/ru/companies/new-city-projects-real-estate-development-company/51373,2026-07-12T21:03:36+00:00
"""НЬЮ ЭРА"" КОМПАНИЯ-ЗАСТРОЙЩИК",,Let's build your future.,Арман Аветисян,исполнительный директор,+37441999022,,,"Армения, 0012, Ереван Вагарш Вагаршян ул., 12 дом","Торговые марки, бренды ""НЬЮ ЭРА РЕЗИДЕНС"" (""NEW ERA RESIDENCE"", Армения), застройщик ""ПТГНИ ГАРДЕН"" (""PTGHNI GARDEN"", Армения), застройщик; Услуги по купле-продаже, обмену, аренде зданий, строений, помещений и территорий Продажа жилых зданий-новостроек Продажа жилых помещений от застройщика Продажа зданий-новостроек Продажа зданий-новостроек от застройщика Продажа квартир в зданиях-новостройках Продажа квартир от застройщика",https://www.facebook.com/profile.php?id=61558648330463; https://www.instagram.com/newera.llc/; https://www.youtube.com/watch?v=N0T6HdnH5NA; https://www.youtube.com/watch?v=ajPzDV9gHhE,26.06.2026,https://www.spyur.am/ru/companies/new-era-real-estate-development-company/56171,2026-07-12T21:03:41+00:00
"""АРАРЭ"" АРХИТЕКТУРНО-СТРОИТЕЛЬНАЯ ОРГАНИЗАЦИЯ",,,Арам Аванесян,директор,+37455260260,,http://arare.am/,"Армения, 0054, Ереван Давташен, 6-я улица, 40/1 дом","Проектирование, строительство зданий, сооружений; Дизайн Дизайн интерьера Дизайн малых архитектурных форм Дизайн экстерьера Консультации Консультации по вопросам проектирования строительных объектов Консультации по вопросам сейсмостойкости зданий и сооружений Консультации по строительству Ремонт, обслуживание, модернизация, монтаж, установка изделий, оборудования, конструкций, инженерных и телекоммуникационных сетей (систем) Монтаж/установка каркаса зданий и сооружений Монтаж/установка металлических конструкций (металлоконструкций) Монтаж/установка систем водоотведения (канализации) Монтаж/установка систем водоснабжения Монтаж/установка систем горячего водоснабжения Монтаж/установка систем отопления Услуги по купле-продаже, обмену, аренде зданий, строений, помещений и территорий Продажа жилых помещений от застройщика Продажа зданий-новостроек от застройщика Продажа квартир от застройщика",https://www.facebook.com/ararearmenia; https://www.instagram.com/arare.architecture; https://www.youtube.com/watch?v=aKGpsqovC24,04.05.2026,https://www.spyur.am/ru/companies/arare-architecture-and-construction-organization/45304,2026-07-12T21:03:55+00:00
"""КАПИТАЛ БИЛД"" ОРГАНИЗАЦИЯ-ЗАСТРОЙЩИК",,"""Капитал Билд"" - представить, построить, жить",Арман Г. Гундакчян,директор,+37412610109; +37412610100; +37443610109; +37444610109; +37433610100,,https://www.capitalbuild.am/,"Армения, 0012, Ереван Грачья Кочари ул., 16/6 дом, помещение 68","Застройка недвижимости; Услуги по купле-продаже, обмену, аренде зданий, строений, помещений и территорий Продажа жилых зданий-новостроек Продажа жилых помещений от застройщика Продажа зданий-новостроек Продажа зданий-новостроек от застройщика Продажа квартир в зданиях-новостройках Продажа квартир от застройщика",https://www.facebook.com/capital.build.estate; https://www.instagram.com/capital_build_estate; https://www.youtube.com/channel/UCsShRGwnVQMErC5HyWg1Smw,14.04.2026,https://www.spyur.am/ru/companies/capital-build-real-estate-development-company/46488,2026-07-12T21:03:57+00:00
